Year,Province ID,Province,Growth,Price Index
2021,1,Al-Riyadh,,78.29
2021,2,Makkah Al-Mokarramah,,88.245
2021,3,Al-Madinah Al-Monawarah,,91.565
2021,4,Al-Qaseem,,90.68
2021,5,Eastern Region,,94.83999999999999
2021,6,Aseer,,91.42
2021,7,Tabouk,,90.60499999999999
2021,8,Hail,,93.9575
2021,9,Northern Borders,,91.51249999999999
2021,10,Jazan,,95.9075
2021,11,Najran,,87.5925
2021,12,Al-Baha,,116.15249999999999
2021,13,Al-Jouf,,95.3375
2021,15,Grand Total,,84.69500000000001
2022,1,Al-Riyadh,17.75,92.095
2022,2,Makkah Al-Mokarramah,11.125,98.08500000000001
2022,3,Al-Madinah Al-Monawarah,6.800000000000001,97.71000000000001
2022,4,Al-Qaseem,10.175,99.87
2022,5,Eastern Region,6.425,100.73
2022,6,Aseer,5.45,96.36000000000001
2022,7,Tabouk,1.025,91.535
2022,8,Hail,5.425,99.02000000000001
2022,9,Northern Borders,9.375,100.09500000000001
2022,10,Jazan,0.5,96.375
2022,11,Najran,0.675,88.1775
2022,12,Al-Baha,-14.274999999999999,99.43
2022,13,Al-Jouf,-0.22500000000000003,95.095
2022,15,Grand Total,12.725,95.3925
2023,1,Al-Riyadh,8.649999999999999,100.01499999999999
2023,2,Makkah Al-Mokarramah,2.125,100.00250000000001
2023,3,Al-Madinah Al-Monawarah,2.375,100.0225
2023,4,Al-Qaseem,0.25,100.00999999999999
2023,5,Eastern Region,-0.625,100.005
2023,6,Aseer,3.875,100.035
2023,7,Tabouk,9.274999999999999,100.04249999999999
2023,8,Hail,1.075,100.025
2023,9,Northern Borders,-0.07500000000000007,100.0125
2023,10,Jazan,3.8,100.00999999999999
2023,11,Najran,13.525000000000002,100.04249999999999
2023,12,Al-Baha,0.7750000000000001,100.1075
2023,13,Al-Jouf,5.3,100.045
2023,15,Grand Total,4.9,100.0025
2024,1,Al-Riyadh,8.575,108.6325
2024,2,Makkah Al-Mokarramah,-1.6,98.395
2024,3,Al-Madinah Al-Monawarah,-0.8,99.195
2024,4,Al-Qaseem,-3.375,96.6025
2024,5,Eastern Region,-5.8,94.2275
2024,6,Aseer,-8.75,91.265
2024,7,Tabouk,0.4,100.35
2024,8,Hail,0.9249999999999999,100.8675
2024,9,Northern Borders,0.525,100.52000000000001
2024,10,Jazan,1.3750000000000002,101.34
2024,11,Najran,-0.6000000000000001,99.36250000000001
2024,12,Al-Baha,-18.325,81.61000000000001
2024,13,Al-Jouf,-5.2749999999999995,94.6975
2024,15,Grand Total,2.3,102.28000000000002
2025,1,Al-Riyadh,3.0749999999999997,111.7575
2025,2,Makkah Al-Mokarramah,2.45,100.8075
2025,3,Al-Madinah Al-Monawarah,-4.675000000000001,94.53500000000001
2025,4,Al-Qaseem,-1.65,95.0025
2025,5,Eastern Region,2.1999999999999997,96.2175
2025,6,Aseer,-4.275,87.35
2025,7,Tabouk,2.6,102.945
2025,8,Hail,-2.3,98.4475
2025,9,Northern Borders,-1.7750000000000001,98.6725
2025,10,Jazan,-0.7999999999999999,100.49499999999999
2025,11,Najran,1.875,101.1525
2025,12,Al-Baha,-1.5,80.3925
2025,13,Al-Jouf,0.8499999999999999,95.3425
2025,15,Grand Total,2.025,104.3225
