region,sector_hhi
Najran,0.27335640138408307
Al-Jouf,0.25951557093425603
Tabouk,0.25826446280991733
Al-Baha,0.22491349480968859
Northern Borders,0.2222222222222222
Al-Riyadh,0.20698302469135801
Hail,0.1980246913580247
Al-Qaseem,0.19218615340419423
Makkah Al-Mokarramah,0.19067028985507245
Eastern Region,0.1902958579881657
Aseer,0.18983234180638184
Jazan,0.17352537722908096
Al-Madinah Al-Monawarah,0.14406298190081976
