Province,Year,registered_employment,region,n_projects,total_budget_sar,known_budget_count,total_area_sqm,known_area_count,at_risk_count,pct_projects,pct_budget,at_risk_rate,total_budget_sar_billion,new_projects_this_year,budget_started_this_year,active_projects,active_budget,completed_this_year,announced_projects,announced_budget,sector_hhi,real_estate_growth,real_estate_vs_own_2023,Population,is_population_extrapolated
Najran,2017,183081.0,Najran,5,665000000.0,2,18250000.0,5,0,0.63,0.04,0.0,0.66,0.0,0.0,4,555000000.0,0.0,6,396000000.0,0.33333333333333337,,,551172.0,False
Najran,2018,151873.0,Najran,6,665000000.0,2,18274000.0,6,0,0.73,0.03,0.0,0.66,1.0,0.0,5,555000000.0,1.0,6,396000000.0,0.25,,,545320.0,False
Najran,2019,137728.0,Najran,6,665000000.0,2,18274000.0,6,0,0.72,0.03,0.0,0.66,0.0,0.0,4,555000000.0,0.0,6,396000000.0,0.25,,,548237.0,False
Najran,2020,140900.0,Najran,6,665000000.0,2,18274000.0,6,0,0.72,0.03,0.0,0.66,0.0,0.0,4,555000000.0,0.0,6,396000000.0,0.25,,,574344.0,False
Najran,2021,143979.0,Najran,6,665000000.0,2,18274000.0,6,0,0.72,0.03,0.0,0.66,0.0,0.0,4,555000000.0,0.0,6,396000000.0,0.25,,0.8759250000000001,567533.0,False
Najran,2022,155649.0,Najran,6,665000000.0,2,18274000.0,6,0,0.72,0.03,0.0,0.66,0.0,0.0,4,555000000.0,0.0,6,396000000.0,0.25,0.675,0.881775,592300.0,False
Najran,2023,160238.0,Najran,6,665000000.0,2,18274000.0,6,0,0.72,0.03,0.0,0.66,0.0,0.0,4,555000000.0,0.0,6,396000000.0,0.25,13.525000000000002,1.0004250000000001,601081.7596525637,True
Najran,2024,186264.0,Najran,6,665000000.0,2,18274000.0,6,0,0.72,0.03,0.0,0.66,0.0,0.0,4,555000000.0,0.0,6,396000000.0,0.25,-0.6000000000000001,0.993625,609993.7224160432,True
Najran,2025,201247.0,Najran,6,665000000.0,2,18274000.0,6,0,0.72,0.03,0.0,0.66,0.0,0.0,4,555000000.0,0.0,6,396000000.0,0.25,1.875,1.011525,619037.818752073,True
Northern Borders,2017,71102.0,Northern Borders,7,59304000000.0,5,443165235.32,3,3,0.88,3.15,42.86,59.3,0.0,0.0,5,31304000000.0,1.0,3,302420000.0,0.25925925925925924,,,345347.0,False
Northern Borders,2018,61183.0,Northern Borders,7,59304000000.0,5,443165235.32,3,3,0.85,3.12,42.86,59.3,0.0,0.0,4,30741000000.0,0.0,3,302420000.0,0.25925925925925924,,,343630.0,False
Northern Borders,2019,124366.0,Northern Borders,7,59304000000.0,5,443165235.32,3,3,0.84,3.08,42.86,59.3,0.0,0.0,4,30741000000.0,1.0,3,302420000.0,0.25925925925925924,,,346525.0,False
Northern Borders,2020,132185.0,Northern Borders,7,59304000000.0,5,443165235.32,3,3,0.84,3.08,42.86,59.3,0.0,0.0,3,26075000000.0,0.0,3,302420000.0,0.25925925925925924,,,361607.0,False
Northern Borders,2021,133971.0,Northern Borders,7,59304000000.0,5,443165235.32,3,3,0.84,3.08,42.86,59.3,0.0,0.0,3,26075000000.0,0.0,3,302420000.0,0.25925925925925924,,0.9151250000000001,359411.0,False
Northern Borders,2022,68039.0,Northern Borders,7,59304000000.0,5,443165235.32,3,3,0.84,3.08,42.86,59.3,0.0,0.0,3,26075000000.0,0.0,3,302420000.0,0.25925925925925924,9.375,1.00095,373577.0,False
Northern Borders,2023,70301.0,Northern Borders,7,59304000000.0,5,443165235.32,3,3,0.84,3.08,42.86,59.3,0.0,0.0,3,26075000000.0,0.0,3,302420000.0,0.25925925925925924,-0.075,1.000125,379577.99887293734,True
Northern Borders,2024,76520.0,Northern Borders,7,59304000000.0,5,443165235.32,3,3,0.84,3.08,42.86,59.3,0.0,0.0,3,26075000000.0,0.0,3,302420000.0,0.25925925925925924,0.525,1.0051999999999999,385675.39550985105,True
Northern Borders,2025,77158.0,Northern Borders,7,59304000000.0,5,443165235.32,3,3,0.84,3.08,42.86,59.3,0.0,0.0,3,26075000000.0,0.0,3,302420000.0,0.25925925925925924,-1.775,0.986725,391870.7384077657,True
Tabouk,2017,152046.0,Tabouk,12,7615555229.0,8,24631000.0,9,4,1.52,0.41,33.33,7.62,0.0,0.0,10,7465567322.0,3.0,19,3112285366.0,0.27111111111111114,,,818980.0,False
Tabouk,2018,135777.0,Tabouk,12,7615555229.0,8,24631000.0,9,4,1.46,0.4,33.33,7.62,0.0,0.0,7,6200256424.0,3.0,19,3112285366.0,0.27111111111111114,,,813992.0,False
Tabouk,2019,128655.0,Tabouk,12,7615555229.0,8,24631000.0,9,4,1.44,0.4,33.33,7.62,0.0,0.0,4,3000000000.0,0.0,19,3112285366.0,0.27111111111111114,,,820568.0,False
Tabouk,2020,132566.0,Tabouk,12,7615555229.0,8,24631000.0,9,4,1.43,0.4,33.33,7.62,0.0,0.0,4,3000000000.0,0.0,19,3112285366.0,0.27111111111111114,,,856497.0,False
Tabouk,2021,131503.0,Tabouk,12,7615555229.0,8,24631000.0,9,4,1.43,0.4,33.33,7.62,0.0,0.0,4,3000000000.0,0.0,19,3112285366.0,0.27111111111111114,,0.90605,850859.0,False
