variant,n_features,ROC_AUC,±
numeric budget_project,17,0.7513395808137519,0.050811054532536336
without budget_project,16,0.7319184012565636,0.04424153486062786
has_budget indicator only,17,0.7433246648911505,0.04451708624879769
