model,ROC_AUC,PR_AUC
TabPFN,0.777794789242533,0.4995211507012708
XGBoost,0.749238858462669,0.48636103146736775
TabM,0.6516880719497471,0.3766500602095143
Baseline: regional delay rate,0.5593384192752533,0.27582017993320196
