variant,n_features,MAE_pooled,R2_pooled,skill
Full model (all features),19,0.06966578297989962,0.09896701412384179,-0.3655107425006623
Without Year,18,0.07829235388125819,0.05229614925818271,-0.5345991347196586
Project features only,16,0.0845596248322119,-0.044306442104537824,-0.6574431686718623
Context only (Year + property),3,0.0694140737879055,-0.011673257698151751,-0.3605770205075671
Without property,17,0.06426410255616752,0.11498330417892799,-0.25963304572246204
Year only,1,0.05964678540489129,0.06398506808615834,-0.16912956033969673
Count-based only (no budget),12,0.12864818287755053,-1.6366899195360731,-1.5216177613789328
Budget-derived only,8,0.060960877914646834,0.09394786861758075,-0.19488693163384552
