name_project,name_truncated,sector_en,all_sectors,n_types,budget_project,area_sqm,region,city,is_multi_region,area_parse_status,has_budget,start_date,end_date,duration_days,start_year,start_date_precision,end_date_precision,status_en,is_at_risk,sectors,status_project,region_project
كمباوند الغدير – Alghadeer compound,False,Residential,"['Commercial', 'Residential']",2,,6000.0,Al-Riyadh,الرياض,False,ok,False,,,,,,,Under construction,False,سكني,تحت الإنشاء,"منطقة الرياض, الرياض"
مدينة الأحلام,False,Residential,"['Commercial', 'Education', 'Health', 'Hospitality', 'Infrastructure', 'Leisure/Tourism', 'Religious/Charity', 'Residential', 'Sports']",9,4000000000.0,800000.0,Aseer,خميس مشيط,False,ok,True,,,,,,,Announced,False,سكني,معلن عنه,"منطقة عسير, خميس مشيط"
أبراج الشاطئ – Beach Towers,False,Residential,['Residential'],1,1400000000.0,130805.0,Makkah Al-Mokarramah,مدينة الملك عبدالله الاقتصادية,False,ok,True,2008-04-28,2009-09-30,520.0,2008.0,exact,month-level,Stalled,True,سكني,متعثر,"منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية"
مجمع جنات الرياض – JANNAT COMPOUND RIYADH,False,Residential,"['Commercial', 'Education', 'Health', 'Hospitality', 'Leisure/Tourism', 'Residential', 'Sports']",7,,4200000.0,Al-Riyadh,الرياض,False,ok,False,,,,,,,Under construction,False,سكني,تحت الإنشاء,"منطقة الرياض, الرياض"
جاردنز,False,Residential,['Residential'],1,,10600.0,Al-Riyadh,الرياض,False,ok,False,,,,,,,Completed,False,سكني,مكتمل,"منطقة الرياض, الرياض"
ديار السلام – Diyar Al Salam,False,Residential,"['Commercial', 'Residential']",2,,,Makkah Al-Mokarramah,جدة,False,empty,False,2015-01-01,2018-03-31,1185.0,2015.0,year-level,month-level,Completed,False,سكني,مكتمل,"منطقة مكة المكرمة, جدة"
حي جلمودة,False,Residential,"['Commercial', 'Infrastructure', 'Residential']",3,,,Eastern Region,الجبيل,False,empty,False,2011-01-01,,,2011.0,year-level,,Under construction,False,سكني,تحت الإنشاء,"المنطقة الشرقية, الجبيل"
أرض مكة,False,Residential,"['Commercial', 'Hospitality', 'Residential']",3,,,Makkah Al-Mokarramah,مكة المكرمة,False,empty,False,,,,,,,Proposed,False,سكني,المشاريع المقترحة,"مكة المكرمة, منطقة مكة المكرمة"
أبراج الحناكي السكنية,False,Residential,"['Commercial', 'Residential']",2,,44000.0,Makkah Al-Mokarramah,جدة,False,ok,False,,,,,,,Announced,False,سكني,معلن عنه,"منطقة مكة المكرمة, جدة"
كمباوند الهدا,False,Residential,['Residential'],1,,19889.0,Al-Riyadh,الرياض,False,ok,False,,,,,,,Announced,False,سكني,معلن عنه,"منطقة الرياض, الرياض"
